Date,Last Price,High Price,Low Price,Open Price
6/26/2024,545.51,546.24,543.03,543.69
6/25/2024,544.83,545.2,542.44,543.99
6/24/2024,542.74,546.95,542.62,544.33
6/21/2024,544.51,545.65,543.02,544.4
6/20/2024,547,550.12,545.18,549.44
6/18/2024,548.49,548.62,546.73,547.16
6/17/2024,547.1,548.53,541.6072,542.08
6/14/2024,542.78,542.81,539.85,540.88
6/13/2024,542.45,543.325,539.59,543.15
6/12/2024,541.36,544.12,540.3,541.63
6/11/2024,536.95,537.01,532.05,534.07
6/10/2024,535.66,535.99,532.57,533.18
6/7/2024,534.01,536.89,532.535,533.66
6/6/2024,534.66,535.42,532.68,534.98
6/5/2024,534.67,534.69,528.7254,530.77
6/4/2024,528.39,529.15,524.96,526.46
6/3/2024,527.8,529.31,522.6,529.02
5/31/2024,527.37,527.5,518.36,523.59
5/30/2024,522.61,525.2,521.33,524.52
5/29/2024,526.1,527.31,525.37,525.68
5/28/2024,529.81,530.51,527.11,530.27
5/24/2024,529.44,530.27,526.881,527.85
5/23/2024,525.96,533.07,524.72,532.96
5/22/2024,529.83,531.38,527.6,530.65
5/21/2024,531.36,531.52,529.07,529.28
5/20/2024,530.06,531.5601,529.17,529.57
5/17/2024,529.45,529.52,527.32,528.81
5/16/2024,528.69,531.5218,528.54,529.88
5/15/2024,529.78,530.08,525.18,525.83
5/14/2024,523.3,523.83,520.56,521.11
5/13/2024,520.91,522.67,519.74,522.56
5/10/2024,520.84,522.635,519.59,521.81
5/9/2024,520.17,520.2074,516.705,517.38
5/8/2024,517.19,517.74,515.14,515.26
5/7/2024,517.14,518.57,516.45,517.56
5/6/2024,516.57,516.61,513.3,513.75
5/3/2024,511.29,512.55,508.56,511.16
5/2/2024,505.03,505.89,499.55,504.15
5/1/2024,500.35,508.19,499.865,501.38
4/30/2024,501.98,509.56,501.98,508.56
4/29/2024,510.06,510.75,507.25,510.09
4/26/2024,508.26,509.88,505.7,506.35
4/25/2024,503.49,504.27,497.49,499.18
4/24/2024,505.41,507.37,503.13,506.56
4/23/2024,505.65,506.09,499.5328,501.78
4/22/2024,499.72,502.38,495.43,497.83
4/19/2024,495.16,500.455,493.86,499.44
4/18/2024,499.52,504.13,498.56,501.98
4/17/2024,500.55,506.22,499.12,506.05
4/16/2024,503.53,506.5,502.21,504.94
4/15/2024,504.45,515.3,503.58,515.13
4/12/2024,510.85,515.815,509.08,514.37
4/11/2024,518,519.48,512.08,515.68
4/10/2024,514.12,516.16,512.09,513.48
4/9/2024,519.32,520.75,514.35,520.5
4/8/2024,518.72,520.18,517.89,519.15
